Quarter,AgeGroup,Sex,EmploymentRate,Year,Qtr
2022 Q3,60-64,Female,48.1,2022,Q3
2022 Q3,60-64,Male,68.5,2022,Q3
2022 Q4,15-19,Female,29.1,2022,Q4
2022 Q4,15-19,Male,25.3,2022,Q4
2022 Q4,20-24,Female,66.0,2022,Q4
2022 Q4,20-24,Male,68.7,2022,Q4
2022 Q4,25-34,Female,79.1,2022,Q4
2022 Q4,25-34,Male,85.8,2022,Q4
2022 Q4,35-44,Female,77.3,2022,Q4
2022 Q4,35-44,Male,91.3,2022,Q4
2022 Q4,45-54,Female,75.7,2022,Q4
2022 Q4,45-54,Male,88.6,2022,Q4
2022 Q4,55-59,Female,67.5,2022,Q4
2022 Q4,55-59,Male,80.8,2022,Q4
2022 Q4,60-64,Female,50.6,2022,Q4
2022 Q4,60-64,Male,70.0,2022,Q4
2023 Q1,15-19,Female,27.2,2023,Q1
2023 Q1,15-19,Male,26.4,2023,Q1
2023 Q1,20-24,Female,67.8,2023,Q1
2023 Q1,20-24,Male,70.1,2023,Q1
2023 Q1,25-34,Female,78.2,2023,Q1
2023 Q1,25-34,Male,85.8,2023,Q1
2023 Q1,35-44,Female,78.7,2023,Q1
2023 Q1,35-44,Male,90.9,2023,Q1
2023 Q1,45-54,Female,76.9,2023,Q1
2023 Q1,45-54,Male,89.3,2023,Q1
2023 Q1,55-59,Female,69.5,2023,Q1
2023 Q1,55-59,Male,80.4,2023,Q1
2023 Q1,60-64,Female,52.1,2023,Q1
2023 Q1,60-64,Male,68.4,2023,Q1
2023 Q2,15-19,Female,29.0,2023,Q2
2023 Q2,15-19,Male,27.7,2023,Q2
2023 Q2,20-24,Female,69.2,2023,Q2
2023 Q2,20-24,Male,68.7,2023,Q2
2023 Q2,25-34,Female,79.4,2023,Q2
2023 Q2,25-34,Male,85.9,2023,Q2
2023 Q2,35-44,Female,80.7,2023,Q2
2023 Q2,35-44,Male,90.7,2023,Q2
2023 Q2,45-54,Female,78.5,2023,Q2
2023 Q2,45-54,Male,88.4,2023,Q2
2023 Q2,55-59,Female,68.6,2023,Q2
2023 Q2,55-59,Male,81.1,2023,Q2
2023 Q2,60-64,Female,53.3,2023,Q2
2023 Q2,60-64,Male,69.2,2023,Q2
2023 Q3,15-19,Female,31.5,2023,Q3
2023 Q3,15-19,Male,29.4,2023,Q3
2023 Q3,20-24,Female,69.4,2023,Q3
2023 Q3,20-24,Male,71.4,2023,Q3
2023 Q3,25-34,Female,79.4,2023,Q3
2023 Q3,25-34,Male,86.3,2023,Q3
2023 Q3,35-44,Female,78.8,2023,Q3
2023 Q3,35-44,Male,90.0,2023,Q3
2023 Q3,45-54,Female,78.8,2023,Q3
2023 Q3,45-54,Male,88.0,2023,Q3
2023 Q3,55-59,Female,68.3,2023,Q3
2023 Q3,55-59,Male,83.2,2023,Q3
2023 Q3,60-64,Female,48.4,2023,Q3
2023 Q3,60-64,Male,70.3,2023,Q3
2023 Q4,15-19,Female,29.3,2023,Q4
2023 Q4,15-19,Male,27.1,2023,Q4
2023 Q4,20-24,Female,71.1,2023,Q4
2023 Q4,20-24,Male,71.1,2023,Q4
2023 Q4,25-34,Female,79.8,2023,Q4
2023 Q4,25-34,Male,87.8,2023,Q4
2023 Q4,35-44,Female,79.0,2023,Q4
2023 Q4,35-44,Male,89.5,2023,Q4
2023 Q4,45-54,Female,77.8,2023,Q4
2023 Q4,45-54,Male,89.3,2023,Q4
2023 Q4,55-59,Female,65.3,2023,Q4
2023 Q4,55-59,Male,79.5,2023,Q4
2023 Q4,60-64,Female,51.6,2023,Q4
2023 Q4,60-64,Male,69.9,2023,Q4
2024 Q1,15-19,Female,26.6,2024,Q1
2024 Q1,15-19,Male,26.0,2024,Q1
2024 Q1,20-24,Female,69.3,2024,Q1
2024 Q1,20-24,Male,70.6,2024,Q1
2024 Q1,25-34,Female,79.6,2024,Q1
2024 Q1,25-34,Male,87.3,2024,Q1
2024 Q1,35-44,Female,79.1,2024,Q1
2024 Q1,35-44,Male,89.1,2024,Q1
2024 Q1,45-54,Female,78.3,2024,Q1
2024 Q1,45-54,Male,88.9,2024,Q1
2024 Q1,55-59,Female,67.8,2024,Q1
2024 Q1,55-59,Male,81.6,2024,Q1
2024 Q1,60-64,Female,52.2,2024,Q1
2024 Q1,60-64,Male,69.3,2024,Q1
2024 Q2,15-19,Female,27.7,2024,Q2
2024 Q2,15-19,Male,27.0,2024,Q2
2024 Q2,20-24,Female,69.2,2024,Q2
2024 Q2,20-24,Male,71.4,2024,Q2
2024 Q2,25-34,Female,81.4,2024,Q2
2024 Q2,25-34,Male,87.3,2024,Q2
2024 Q2,35-44,Female,81.0,2024,Q2
2024 Q2,35-44,Male,88.8,2024,Q2
2024 Q2,45-54,Female,78.9,2024,Q2
2024 Q2,45-54,Male,88.9,2024,Q2
2024 Q2,55-59,Female,69.3,2024,Q2
2024 Q2,55-59,Male,83.2,2024,Q2
2024 Q2,60-64,Female,50.4,2024,Q2
2024 Q2,60-64,Male,68.8,2024,Q2
2024 Q3,15-19,Female,31.7,2024,Q3
2024 Q3,15-19,Male,29.9,2024,Q3
2024 Q3,20-24,Female,72.8,2024,Q3
2024 Q3,20-24,Male,74.2,2024,Q3
2024 Q3,25-34,Female,79.7,2024,Q3
2024 Q3,25-34,Male,86.8,2024,Q3
2024 Q3,35-44,Female,79.9,2024,Q3
2024 Q3,35-44,Male,91.8,2024,Q3
2024 Q3,45-54,Female,80.1,2024,Q3
2024 Q3,45-54,Male,90.1,2024,Q3
2024 Q3,55-59,Female,71.4,2024,Q3
2024 Q3,55-59,Male,82.0,2024,Q3
2024 Q3,60-64,Female,50.7,2024,Q3
2024 Q3,60-64,Male,67.4,2024,Q3
2024 Q4,15-19,Female,25.5,2024,Q4
2024 Q4,15-19,Male,26.4,2024,Q4
2024 Q4,20-24,Female,68.7,2024,Q4
2024 Q4,20-24,Male,68.8,2024,Q4
2024 Q4,25-34,Female,82.7,2024,Q4
2024 Q4,25-34,Male,86.8,2024,Q4
2024 Q4,35-44,Female,80.3,2024,Q4
2024 Q4,35-44,Male,91.3,2024,Q4
2024 Q4,45-54,Female,78.1,2024,Q4
2024 Q4,45-54,Male,89.2,2024,Q4
2024 Q4,55-59,Female,68.8,2024,Q4
2024 Q4,55-59,Male,81.7,2024,Q4
2024 Q4,60-64,Female,53.1,2024,Q4
2024 Q4,60-64,Male,67.5,2024,Q4
